"학적상태","입학년도","입학학기","졸업년도","졸업학기","대학코드","수료년도","수료학기","국적","생년월일","학과코드","군대상태","대학","학과","다전공종류","이중전공","융합전공","입학유형","입학구분","성별","캠퍼스구분","나이","Id","isoIndex"
"졸업",2015,"1R",2019,"1R",4652,NA,"","KOR",1995,4653,NA,"생명과학대학","생명과학부","심화전공","","","정시_수능","정원내신입학","여",1,21,26284,NA
"졸업",2014,"1R",2019,"1R",143,2018,"2R","KOR",1995,146,NA,"문과대학","영어영문학과","이중전공","경영학과","","수시_특기자","정원내신입학","여",1,20,26352,NA
"졸업",2014,"1R",2019,"1R",143,2018,"2R","KOR",1994,146,NA,"문과대학","영어영문학과","이중전공","경제학과","","수시_학생부교과","정원내신입학","여",1,21,26353,NA
"졸업",2014,"1R",2019,"1R",143,NA,"","KOR",1996,146,NA,"문과대학","영어영문학과","융합전공","","기후변화융합전공","수시_학생부교과","정원내신입학","여",1,19,26354,NA
"졸업",2014,"1R",2019,"1R",143,NA,"","KOR",1995,146,NA,"문과대학","영어영문학과","심화전공","","","정시_수능","정원내신입학","여",1,20,26355,NA
"졸업",2014,"1R",2019,"1R",143,2018,"1R","KOR",1994,146,NA,"문과대학","영어영문학과","융합전공","","패션디자인및머천다이징융합전공","정시_수능","정원내신입학","여",1,21,26356,NA
"졸업",2014,"1R",2019,"1R",143,2018,"2R","KOR",1995,146,NA,"문과대학","영어영문학과","심화전공","","","정시_수능","정원내신입학","여",1,20,26357,NA
"졸업",2014,"1R",2019,"1R",143,2018,"1R","KOR",1994,146,NA,"문과대학","영어영문학과","이중전공","식품자원경제학과","","정시_수능","정원내신입학","여",1,21,26358,NA
"졸업",2014,"1R",2019,"1R",143,NA,"","KOR",1993,146,NA,"문과대학","영어영문학과","융합전공","","공공거버넌스와리더십융합전공","정시_수능","정원내신입학","여",1,22,26359,NA
"졸업",2014,"1R",2019,"1R",143,2018,"2R","KOR",1995,146,NA,"문과대학","영어영문학과","이중전공","경영학과","","정시_수능","정원내신입학","여",1,20,26360,NA
"졸업",2014,"1R",2019,"1R",143,NA,"","KOR",1995,146,NA,"문과대학","영어영문학과","이중전공","경영학과","","수시_학생부교과","정원내신입학","여",1,20,26361,NA
"졸업",2014,"1R",2019,"1R",143,NA,"","KOR",1996,146,NA,"문과대학","영어영문학과","이중전공","심리학과","","정시_수능","정원내신입학","여",1,19,26362,NA
"졸업",2014,"1R",2019,"1R",143,NA,"","KOR",1995,146,NA,"문과대학","영어영문학과","이중전공","심리학과","","수시_학생부교과","정원내신입학","여",1,20,26363,NA
"졸업",2014,"1R",2019,"1R",143,NA,"","KOR",1995,146,NA,"문과대학","영어영문학과","이중전공","경영학과","","정시_수능","정원내신입학","여",1,20,26364,NA
"졸업",2014,"1R",2019,"1R",143,2018,"1R","KOR",1995,146,NA,"문과대학","영어영문학과","이중전공","경제학과","","정시_수능","정원내신입학","여",1,20,26365,NA
"졸업",2014,"1R",2019,"1R",143,2018,"1R","KOR",1995,146,NA,"문과대학","영어영문학과","이중전공","사회학과","","정시_수능","정원내신입학","여",1,20,26366,NA
"졸업",2014,"1R",2019,"1R",143,NA,"","KOR",1995,146,NA,"문과대학","영어영문학과","","","","수시_특기자","정원내신입학","여",1,20,26367,NA
"졸업",2014,"1R",2019,"1R",143,NA,"","KOR",1995,153,NA,"문과대학","독어독문학과","이중전공","국제학부","","글로벌인재","정원내신입학","여",1,20,26368,NA
"졸업",2014,"1R",2019,"1R",217,NA,"","KOR",1996,5597,NA,"공과대학","전기전자공학부","심화전공","","","과학영재","정원내신입학","여",1,19,26369,NA
"졸업",2014,"1R",2019,"1R",217,NA,"","KOR",1995,5597,NA,"공과대학","전기전자공학부","심화전공","","","정시_수능","정원내신입학","여",1,20,26370,NA
"졸업",2014,"1R",2019,"1R",217,NA,"","KOR",1995,5597,NA,"공과대학","전기전자공학부","심화전공","","","정시_수능","정원내신입학","남",1,20,26371,NA
"졸업",2014,"1R",2019,"1R",217,NA,"","KOR",1996,5597,NA,"공과대학","전기전자공학부","심화전공","","","정시_수능","정원내신입학","남",1,19,26372,NA
"졸업",2014,"1R",2019,"1R",217,NA,"","KOR",1994,5597,NA,"공과대학","전기전자공학부","심화전공","","","정시_수능","정원내신입학","여",1,21,26373,NA
"졸업",2014,"1R",2019,"1R",217,NA,"","KOR",1995,5597,NA,"공과대학","전기전자공학부","심화전공","","","과학영재","정원내신입학","남",1,20,26374,NA
"졸업",2014,"1R",2019,"1R",217,NA,"","KOR",1995,5597,NA,"공과대학","전기전자공학부","심화전공","","","수시_학생부교과","정원내신입학","여",1,20,26375,NA
"졸업",2014,"1R",2019,"1R",217,NA,"","KOR",1996,5597,NA,"공과대학","전기전자공학부","심화전공","","","과학영재","정원내신입학","여",1,19,26376,NA
"졸업",2014,"1R",2019,"1R",217,NA,"","ARE",1994,5597,NA,"공과대학","전기전자공학부","심화전공","","","외국인","정원외신입학","남",1,21,26377,NA
"졸업",2014,"2R",2019,"1R",217,NA,"","SAU",1994,5597,NA,"공과대학","전기전자공학부","심화전공","","","외국인","정원외신입학","남",1,21,26378,NA
"졸업",2016,"1R",2019,"1R",217,2018,"2R","KOR",1992,5597,11,"공과대학","전기전자공학부","","","","학사편입학","정원외학사편입학","남",1,25,26379,NA
"졸업",2016,"1R",2019,"1R",217,NA,"","KOR",1994,5597,NA,"공과대학","전기전자공학부","심화전공","","","정시_수능","정원내편입학","여",1,23,26380,NA
"졸업",2014,"1R",2019,"1R",234,2018,"2R","KOR",1995,236,NA,"사범대학","교육학과","이중전공","경제학과","","수시_학생부교과","정원내신입학","여",1,20,26381,NA
"졸업",2014,"1R",2019,"1R",234,2018,"2R","KOR",1995,236,NA,"사범대학","교육학과","","","","정시_수능","정원내신입학","여",1,20,26382,NA
"졸업",2014,"1R",2019,"1R",234,NA,"","KOR",1996,236,NA,"사범대학","교육학과","심화전공","","","수시_학생부교과","정원내신입학","여",1,19,26383,NA
"졸업",2014,"1R",2019,"1R",234,NA,"","KOR",1995,236,NA,"사범대학","교육학과","이중전공","심리학과","","정시_수능","정원내신입학","여",1,20,26384,NA
"졸업",2014,"1R",2019,"1R",234,NA,"","KOR",1994,236,NA,"사범대학","교육학과","이중전공","심리학과","","정시_수능","정원내신입학","여",1,21,26385,NA
"졸업",2014,"1R",2019,"1R",234,NA,"","KOR",1995,236,NA,"사범대학","교육학과","이중전공","미디어학부","","정시_수능","정원내신입학","여",1,20,26386,NA
"졸업",2015,"1R",2019,"1R",209,NA,"","KOR",1996,211,NA,"이과대학","수학과","융합전공","","암호학융합전공","정시_수능","정원내신입학","여",1,20,26387,NA
"졸업",2017,"1R",2019,"1R",209,NA,"","KOR",1988,211,NA,"이과대학","수학과","심화전공","","","정시_수능","정원내편입학","여",1,30,26388,NA
"졸업",2015,"1R",2019,"1R",209,NA,"","KOR",1996,212,NA,"이과대학","물리학과","심화전공","","","정시_기회균등","정원외신입학","남",1,20,26389,NA
"졸업",2015,"1R",2019,"1R",209,NA,"","KOR",1996,212,NA,"이과대학","물리학과","심화전공","","","정시_수능","정원내신입학","남",1,20,26390,NA
"졸업",2015,"1R",2019,"1R",209,NA,"","KOR",1996,212,NA,"이과대학","물리학과","심화전공","","","정시_수능","정원내신입학","여",1,20,26391,NA
"졸업",2015,"1R",2019,"1R",209,NA,"","KOR",1996,212,NA,"이과대학","물리학과","심화전공","","","수시_특기자","정원내신입학","남",1,20,26392,NA
"졸업",2015,"1R",2019,"1R",209,NA,"","KOR",1996,212,NA,"이과대학","물리학과","이중전공","전기전자공학부","","수시_학생부교과","정원내신입학","여",1,20,26393,NA
"졸업",2015,"1R",2019,"1R",209,NA,"","KOR",1994,213,NA,"이과대학","화학과","심화전공","","","정시_수능","정원내신입학","남",1,22,26394,NA
"졸업",2015,"1R",2019,"1R",209,NA,"","KOR",1996,213,NA,"이과대학","화학과","심화전공","","","수시_학생부종합","정원내신입학","남",1,20,26395,NA
"졸업",2015,"1R",2019,"1R",209,NA,"","KOR",1994,213,NA,"이과대학","화학과","심화전공","","","재외국민","정원외신입학","여",1,22,26396,NA
"졸업",2015,"1R",2019,"1R",209,NA,"","KOR",1996,213,NA,"이과대학","화학과","심화전공","","","정시_수능","정원내신입학","여",1,20,26397,NA
"졸업",2015,"1R",2019,"1R",209,NA,"","KOR",1996,213,NA,"이과대학","화학과","심화전공","","","정시_수능","정원내신입학","여",1,20,26398,NA
"졸업",2015,"1R",2019,"1R",209,NA,"","KOR",1997,213,NA,"이과대학","화학과","심화전공","","","정시_수능","정원내신입학","여",1,19,26399,NA
"졸업",2015,"1R",2019,"1R",209,NA,"","KOR",1996,213,NA,"이과대학","화학과","이중전공","식품공학과","","수시_학생부종합","정원내신입학","여",1,20,26400,NA
"졸업",2015,"1R",2019,"1R",209,NA,"","CHN",1995,213,NA,"이과대학","화학과","이중전공","독어독문학과","","외국인","정원외신입학","여",1,21,26401,NA
"졸업",2015,"1R",2019,"1R",209,NA,"","MYS",1995,213,NA,"이과대학","화학과","융합전공","","GKS 융합전공","외국인","정원외신입학","여",1,21,26402,NA
"졸업",2017,"1R",2019,"1R",209,NA,"","KOR",1992,213,11,"이과대학","화학과","심화전공","","","정시_수능","정원내편입학","남",1,26,26403,NA
"졸업",2017,"1R",2019,"1R",209,NA,"","KOR",1993,213,11,"이과대학","화학과","심화전공","","","정시_수능","정원내편입학","남",1,25,26404,NA
"졸업",2014,"1R",2019,"1R",143,2018,"2R","KOR",1995,153,NA,"문과대학","독어독문학과","이중전공","심리학과","","정시_수능","정원내신입학","여",1,20,26523,NA
"졸업",2014,"1R",2019,"1R",143,2018,"2R","KOR",1996,153,NA,"문과대학","독어독문학과","이중전공","사회학과","","정시_수능","정원내신입학","여",1,19,26524,NA
"졸업",2014,"1R",2019,"1R",143,2018,"2R","KOR",1994,153,NA,"문과대학","독어독문학과","융합전공","","인문학과문화산업융합전공","정시_수능","정원내신입학","여",1,21,26525,NA
"졸업",2014,"1R",2019,"1R",143,2018,"1R","KOR",1995,154,NA,"문과대학","불어불문학과","이중전공","경영학과","","글로벌인재","정원내신입학","여",1,20,26526,NA
"졸업",2014,"1R",2019,"1R",143,2018,"1R","KOR",1994,154,NA,"문과대학","불어불문학과","이중전공","미디어학부","","정시_수능","정원내신입학","여",1,21,26527,NA
"졸업",2014,"1R",2019,"1R",143,2018,"2R","KOR",1995,154,NA,"문과대학","불어불문학과","심화전공","","","정시_수능","정원내신입학","여",1,20,26528,NA
"졸업",2014,"1R",2019,"1R",143,NA,"","KOR",1995,154,NA,"문과대학","불어불문학과","이중전공","식품자원경제학과","","정시_수능","정원내신입학","여",1,20,26529,NA
