"Source","Target","Domain","Label"
32123,"해외대학파견","해외대학파견","Nagoya University"
21215,"해외대학파견","해외대학파견","University of Zurich"
7370,"해외대학파견","해외대학파견","University of Copenhagen"
29335,"해외대학파견","해외대학파견","Free University of Berlin"
20973,"해외대학파견","해외대학파견","Syracuse University"
35651,"해외대학파견","해외대학파견","University of Leeds"
17109,"해외대학파견","해외대학파견","University of Mannheim"
7758,"해외대학파견","해외대학파견","National University of Singapore"
16652,"해외대학파견","해외대학파견","McGill University"
11001,"해외대학파견","해외대학파견","Keio University"
10031,"해외대학파견","해외대학파견","Shanghai Jiao Tong University"
29335,"해외대학파견","해외대학파견","University of Freiburg"
12903,"해외대학파견","해외대학파견","National University of Singapore"
12532,"해외대학파견","해외대학파견","University of New Brunswick"
32629,"해외대학파견","해외대학파견","IESEG School of Management"
16692,"해외대학파견","해외대학파견","University of British Columbia"
32422,"해외대학파견","해외대학파견","University of Calgary"
4408,"해외대학파견","해외대학파견","University of New South Wales"
32838,"해외대학파견","해외대학파견","Aalborg University"
17111,"해외대학파견","해외대학파견","McGill University"
15306,"해외대학파견","해외대학파견","University of Nebraska, Kearney"
30774,"해외대학파견","해외대학파견","University at Buffalo, SUNY"
7751,"해외대학파견","해외대학파견","University of Hong Kong"
10204,"해외대학파견","해외대학파견","Australian National University"
7994,"해외대학파견","해외대학파견","Free University of Berlin"
4288,"해외대학파견","해외대학파견","Copenhagen Business School"
21048,"해외대학파견","해외대학파견","University of Mannheim"
32182,"해외대학파견","해외대학파견","Lund University"
4295,"해외대학파견","해외대학파견","ISEP"
31366,"해외대학파견","해외대학파견","University of Connecticut"
10953,"해외대학파견","해외대학파견","Nagoya University"
5155,"해외대학파견","해외대학파견","Victoria University of Wellington"
4139,"해외대학파견","해외대학파견","Linnaeus University"
32506,"해외대학파견","해외대학파견","Sciences Po"
30830,"해외대학파견","해외대학파견","Western University"
28871,"해외대학파견","해외대학파견","University of Amsterdam"
32941,"해외대학파견","해외대학파견","McGill University"
4559,"해외대학파견","해외대학파견","Malmo University"
12177,"해외대학파견","해외대학파견","Copenhagen Business School"
6942,"해외대학파견","해외대학파견","Lund University"
4983,"해외대학파견","해외대학파견","Copenhagen Business School"
32560,"해외대학파견","해외대학파견","Beijing Normal University"
5099,"해외대학파견","해외대학파견","ISEP"
30771,"해외대학파견","해외대학파견","University of Sheffield"
32253,"해외대학파견","해외대학파견","University of Mannheim"
12531,"해외대학파견","해외대학파견","Universidad de Valladolid"
30770,"해외대학파견","해외대학파견","Syracuse University"
17170,"해외대학파견","해외대학파견","ZheJiang University"
11175,"해외대학파견","해외대학파견","National University of Singapore"
37909,"해외대학파견","해외대학파견","McGill University"
15238,"해외대학파견","해외대학파견","University of Missouri-Columbia"
32965,"해외대학파견","해외대학파견","University of Groningen"
11863,"해외대학파견","해외대학파견","Keio University"
4568,"해외대학파견","해외대학파견","Malmo University"
12349,"해외대학파견","해외대학파견","Syracuse University"
31137,"해외대학파견","해외대학파견","University of Nottingham"
31417,"해외대학파견","해외대학파견","The Chinese University of Hong Kong"
30800,"해외대학파견","해외대학파견","University of Calgary"
31250,"해외대학파견","해외대학파견","Uppsala University"
16152,"해외대학파견","해외대학파견","Waseda University"
12881,"해외대학파견","해외대학파견","University of Colima"
4513,"해외대학파견","해외대학파견","Universidad Politecnica de Valencia"
28123,"해외대학파견","해외대학파견","Universita Commerciale L. Bocconi"
35657,"해외대학파견","해외대학파견","University of Leeds"
10321,"해외대학파견","해외대학파견","University of Ottawa"
10317,"해외대학파견","해외대학파견","Miami University, Ohio"
10001,"해외대학파견","해외대학파견","Universidad de Navarra"
31198,"해외대학파견","해외대학파견","University of Edinburgh"
13941,"해외대학파견","해외대학파견","Malmo University"
16697,"해외대학파견","해외대학파견","University College Maastricht"
9263,"해외대학파견","해외대학파견","Universita Commerciale L. Bocconi"
38043,"해외대학파견","해외대학파견","University of Connecticut"
33568,"해외대학파견","해외대학파견","Malmo University"
32258,"해외대학파견","해외대학파견","Hanken School of Economics"
31194,"해외대학파견","해외대학파견","University of Nebraska, Kearney"
12632,"해외대학파견","해외대학파견","University of Dayton"
4445,"해외대학파견","해외대학파견","Aston University"
35140,"해외대학파견","해외대학파견","University of Tsukuba"
32627,"해외대학파견","해외대학파견","IESEG School of Management"
35517,"해외대학파견","해외대학파견","University of Maryland at College Park"
11859,"해외대학파견","해외대학파견","University of Hong Kong"
16635,"해외대학파견","해외대학파견","University of California, Los Angeles"
32626,"해외대학파견","해외대학파견","Australian National University"
4203,"해외대학파견","해외대학파견","IESEG School of Management"
32625,"해외대학파견","해외대학파견","Free University of Berlin"
16292,"해외대학파견","해외대학파견","Monash University"
21047,"해외대학파견","해외대학파견","Hochschule Albstadt-Sigmaringen"
4564,"해외대학파견","해외대학파견","Western University"
15363,"해외대학파견","해외대학파견","University of Texas at Austin"
16511,"해외대학파견","해외대학파견","University of Texas at Austin"
15672,"해외대학파견","해외대학파견","University of Amsterdam"
12344,"해외대학파견","해외대학파견","Universidad de Navarra"
9571,"해외대학파견","해외대학파견","Sciences Po"
35718,"해외대학파견","해외대학파견","Universidad San Ignacio de Loyola"
10940,"해외대학파견","해외대학파견","Lomonosov Moscow State University"
31880,"해외대학파견","해외대학파견","Nagoya University"
33248,"해외대학파견","해외대학파견","FH Technikum Wien"
4611,"해외대학파견","해외대학파견","University of Sussex"
16521,"해외대학파견","해외대학파견","Universitat Pompeu Fabra"
35720,"해외대학파견","해외대학파견","Universidad de Deusto"
32248,"해외대학파견","해외대학파견","Universidad San Ignacio de Loyola"
32317,"해외대학파견","해외대학파견","University of Helsinki"
14902,"해외대학파견","해외대학파견","Aalborg University"
31801,"해외대학파견","해외대학파견","University of Wisconsin-Madison"
9572,"해외대학파견","해외대학파견","University of Hong Kong"
20992,"해외대학파견","해외대학파견","Free University of Amsterdam (=Vrije Universiteit) university wide agreement"
13252,"해외대학파견","해외대학파견","The Chinese University of Hong Kong"
15515,"해외대학파견","해외대학파견","Universita Cattolica del Sacro Cuore"
16968,"해외대학파견","해외대학파견","University of Edinburgh"
9057,"해외대학파견","해외대학파견","Sciences Po"
8373,"해외대학파견","해외대학파견","Binghamton University SUNY"
33146,"해외대학파견","해외대학파견","University of Leeds"
11063,"해외대학파견","해외대학파견","St. Petersburg State University"
