"Source","Target","Domain"
33163,"마산제일고등학교","출신교"
33164,"해남고등학교","출신교"
33423,"해룡고등학교","출신교"
33600,"거창여자고등학교","출신교"
31977,"강화고등학교","출신교"
31793,"창평고등학교","출신교"
32331,"남창고등학교","출신교"
32528,"고성중앙고등학교","출신교"
32529,"마산제일고등학교","출신교"
2346,"XIANGHE NO1 SENIOR HIGH SCHOOL","출신교"
2348,"장춘시 제2실험고등학교","출신교"
2665,"THE NO.5 HIGH SCHOOL OF SHENYANG","출신교"
2669,"Jericho High School","출신교"
3409,"한국한성화교중고등학교","출신교"
3506,"No11 High School of Changchun","출신교"
3507,"General Education School No 2","출신교"
3512,"Hangzhou Number 14 Secondary School","출신교"
4153,"JIT SIN INDEPENDENT HIGH SCHOOL","출신교"
4097,"Beijing No20 High School","출신교"
3821,"미야자키 일본 대학 고등학교","출신교"
5958,"배화여자고등학교","출신교"
31095,"Jakarta international Korean School","출신교"
31694,"천진한국국제학교","출신교"
31693,"위해중세한국국제학교","출신교"
31692,"Zhongshi Korean International School-Korean Department","출신교"
31691,"Jakarta International School","출신교"
31229,"Shanghai Singapore International School","출신교"
31290,"오사카금강고등학교","출신교"
31231,"QSI International School of Shekou","출신교"
31232,"대련한국국제학교","출신교"
30882,"천진한국국제학교","출신교"
30881,"북경한국국제학교","출신교"
30880,"Jakarta international Korean School","출신교"
30879,"Mont Kiara International School","출신교"
31938,"마북초등학교","출신교"
32373,"서울문영여자고등학교","출신교"
32372,"서울 보성 여자 고등학교","출신교"
32371,"동영시 제일고등학교","출신교"
10838,"중앙고등학교","출신교"
32828,"SUNJUNG  high school","출신교"
32829,"Heilongjiang River Farming Jiamusi School","출신교"
5886,"선정고등학교","출신교"
35521,"부산국제고등학교","출신교"
34220,"경기외국어 고등학교","출신교"
35524,"제11고등학교","출신교"
35525,"Colegio Bilingue Richmond","출신교"
35526,"Ngee Ann Polytechnic","출신교"
35527,"Shandong Zibo No4 High School","출신교"
35528,"Los Alamos High School","출신교"
35529,"천진시제35고등학교","출신교"
11286,"High school Camoes","출신교"
35580,"한국한성화교중고등학교","출신교"
34970,"Health Science University of Mongolia","출신교"
34969,"Non state Private Educational Institution Gymnasium Business School","출신교"
38668,"성포고등학교","출신교"
31991,"해남고등학교","출신교"
31992,"상문고등학교","출신교"
32040,"부산중앙고등학교","출신교"
32041,"우신고등학교","출신교"
32042,"명덕외국어고등학교","출신교"
37911,"경화여자고등학교","출신교"
32043,"김천고등학교","출신교"
17928,"수원외국어고등학교","출신교"
32044,"부산국제외국어고등학교","출신교"
32045,"김해대청고등학교","출신교"
32046,"숭덕고등학교","출신교"
35581,"Huasheng Senior High School","출신교"
168,"백마고등학교","출신교"
33430,"고양외국어고등학교","출신교"
33431,"경기고등학교","출신교"
33432,"밀성고등학교","출신교"
33433,"세화고등학교","출신교"
33439,"부산여자고등학교","출신교"
33485,"명덕고등학교","출신교"
33486,"목포홍일고등학교","출신교"
33487,"서울-고등학교졸업자격검정고시","출신교"
32881,"한국한성화교중고등학교","출신교"
20950,"흥인초등학교","출신교"
30876,"연대한국학교","출신교"
33502,"북경한국국제학교","출신교"
33086,"Jakarta international Korean School","출신교"
33394,"Korean International School in Qingdao","출신교"
4630,"Jakarta international Korean School","출신교"
33393,"Jakarta international Korean School","출신교"
33392,"중세한국국제학교","출신교"
35212,"동경한국학교","출신교"
35211,"청도국기외국어학교","출신교"
2406,"Asaka Academic Lyceum under Andijan State University ","출신교"
2407,"High school of Excellence of Bamako","출신교"
31147,"Dong Sung High School","출신교"
30883,"Fraser Heights Secondary School","출신교"
33501,"시안 No75 Middle School","출신교"
35210,"Beijing Juncheng High School","출신교"
38348,"대구삼육초등학교","출신교"
35213,"Tenafly High School","출신교"
35270,"연길시제2고급중학교","출신교"
35269,"Jining No 1 Senior High School","출신교"
34884,"Westview High School","출신교"
33489,"고양외국어고등학교","출신교"
33490,"대영고등학교","출신교"
14508,"포항제철고등학교","출신교"
33491,"서울-고등학교졸업자격검정고시","출신교"
33492,"부산남고등학교","출신교"
33493,"부일외국어고등학교","출신교"
33494,"영남고등학교","출신교"
33495,"광신고등학교","출신교"
34968,"School Gymnasium N22","출신교"
34967,"Erdemtugs High school","출신교"
4815,"Suzhou Tourism and Finance Institute, China","출신교"
32047,"한양대학교사범대학부속고등학교","출신교"
32048,"과천중앙고등학교","출신교"
32049,"진성고등학교","출신교"
32050,"센텀고등학교","출신교"
32051,"진성고등학교","출신교"
32052,"과천외국어고등학교","출신교"
32053,"경상고등학교","출신교"
32054,"목동고등학교","출신교"
32687,"Morrison Academy","출신교"
34880,"Dalat International School","출신교"
34881,"Cairo American College","출신교"
20947,"선정고등학교","출신교"
20948,"신태 제일 고등학교","출신교"
20949,"DonggangCityNo2SeniorMiddleSchool","출신교"
21204,"경민IT고등학교","출신교"
21208,"Colleage of Managment and International Tourism","출신교"
21240,"요녕성실험중학교분교 The North School of Liaoning Province Shiyan High School","출신교"
21676,"The 3rd academic lyceum under Tashkent State Technical University","출신교"
3104,"영신고등학교","출신교"
3632,"중국지린성반석시홍광고등학교","출신교"
31978,"도원고등학교","출신교"
31980,"광남고등학교","출신교"
31981,"덕원고등학교","출신교"
31982,"성신고등학교","출신교"
31085,"홍성고등학교","출신교"
34882,"Dalian Maple Leaf International School","출신교"
34883,"Qingdao Intl Foreign Language School","출신교"
35593,"Shanghai American School","출신교"
33434,"의왕고등학교","출신교"
33435,"여수고등학교","출신교"
33436,"경기고등학교","출신교"
33437,"온양고등학교","출신교"
33438,"부산동성고등학교","출신교"
38068,"BeiJing Geely University","출신교"
35020,"한성화교소학교","출신교"
33496,"평택여자고등학교","출신교"
37982,"혜성여자고등학교","출신교"
33497,"성지여자고등학교","출신교"
33498,"광남고등학교","출신교"
33499,"살레시오고등학교","출신교"
33500,"보인고등학교","출신교"
33549,"서울-고등학교졸업자격검정고시","출신교"
35594,"칭다오청운한국학교","출신교"
35026,"American International School Dhaka","출신교"
35025,"Colegio Internacional de Asuncion","출신교"
2583,"Yushi International High School","출신교"
2585,"Kristin School","출신교"
2588,"Kings College","출신교"
2590,"중국 길림성 매하구시 조중","출신교"
18140,"SMK SERI AMPANGAN","출신교"
31454,"Dar arrowad School","출신교"
31455,"naran","출신교"
22812,"Secondary School No 81","출신교"
22748,"Qinhuangdao City No 1 Senior High School","출신교"
33550,"한양대학교사범대학부속고등학교","출신교"
33551,"화정고등학교","출신교"
33552,"늘푸른고등학교","출신교"
31155,"동양미래대학교","출신교"
18238,"University of Huston","출신교"
33253,"University of Utah","출신교"
33653,"능주고등학교","출신교"
33672,"거창대성고등학교","출신교"
32907,"청원고등학교","출신교"
3633,"International School Nadi","출신교"
3657,"Academic Lyceum No2 attached Namangan State University","출신교"
3243,"Republic of Uzbekistan Academic Lyceum","출신교"
