"Source","Id","Domain","Label"
32123,"해외대학파견","해외대학파견","해외대학파견"
2346,"XIANGHE NO1 SENIOR HIGH SCHOOL","출신교","XIANGHE NO1 SENIOR HIGH SCHOOL"
2348,"장춘시 제2실험고등학교","출신교","장춘시 제2실험고등학교"
2665,"THE NO.5 HIGH SCHOOL OF SHENYANG","출신교","THE NO.5 HIGH SCHOOL OF SHENYANG"
2669,"Jericho High School","출신교","Jericho High School"
3409,"한국한성화교중고등학교","출신교","한국한성화교중고등학교"
3506,"No11 High School of Changchun","출신교","No11 High School of Changchun"
3507,"General Education School No 2","출신교","General Education School No 2"
3512,"Hangzhou Number 14 Secondary School","출신교","Hangzhou Number 14 Secondary School"
4153,"JIT SIN INDEPENDENT HIGH SCHOOL","출신교","JIT SIN INDEPENDENT HIGH SCHOOL"
4097,"Beijing No20 High School","출신교","Beijing No20 High School"
3821,"미야자키 일본 대학 고등학교","출신교","미야자키 일본 대학 고등학교"
5958,"배화여자고등학교","출신교","배화여자고등학교"
31095,"Jakarta international Korean School","출신교","Jakarta international Korean School"
31694,"천진한국국제학교","출신교","천진한국국제학교"
31693,"위해중세한국국제학교","출신교","위해중세한국국제학교"
31692,"Zhongshi Korean International School-Korean Department","출신교","Zhongshi Korean International School-Korean Department"
31691,"Jakarta International School","출신교","Jakarta International School"
31229,"Shanghai Singapore International School","출신교","Shanghai Singapore International School"
31290,"오사카금강고등학교","출신교","오사카금강고등학교"
31231,"QSI International School of Shekou","출신교","QSI International School of Shekou"
31232,"대련한국국제학교","출신교","대련한국국제학교"
30881,"북경한국국제학교","출신교","북경한국국제학교"
30879,"Mont Kiara International School","출신교","Mont Kiara International School"
31938,"마북초등학교","출신교","마북초등학교"
32373,"서울문영여자고등학교","출신교","서울문영여자고등학교"
32372,"서울 보성 여자 고등학교","출신교","서울 보성 여자 고등학교"
32371,"동영시 제일고등학교","출신교","동영시 제일고등학교"
10838,"중앙고등학교","출신교","중앙고등학교"
32828,"SUNJUNG  high school","출신교","SUNJUNG  high school"
32829,"Heilongjiang River Farming Jiamusi School","출신교","Heilongjiang River Farming Jiamusi School"
5886,"선정고등학교","출신교","선정고등학교"
35521,"부산국제고등학교","출신교","부산국제고등학교"
34220,"경기외국어 고등학교","출신교","경기외국어 고등학교"
35524,"제11고등학교","출신교","제11고등학교"
35525,"Colegio Bilingue Richmond","출신교","Colegio Bilingue Richmond"
35527,"Shandong Zibo No4 High School","출신교","Shandong Zibo No4 High School"
35528,"Los Alamos High School","출신교","Los Alamos High School"
35529,"천진시제35고등학교","출신교","천진시제35고등학교"
11286,"High school Camoes","출신교","High school Camoes"
34970,"Health Science University of Mongolia","출신교","Health Science University of Mongolia"
34969,"Non state Private Educational Institution Gymnasium Business School","출신교","Non state Private Educational Institution Gymnasium Business School"
37911,"경화여자고등학교","출신교","경화여자고등학교"
35581,"Huasheng Senior High School","출신교","Huasheng Senior High School"
20950,"흥인초등학교","출신교","흥인초등학교"
30876,"연대한국학교","출신교","연대한국학교"
33394,"Korean International School in Qingdao","출신교","Korean International School in Qingdao"
33392,"중세한국국제학교","출신교","중세한국국제학교"
35212,"동경한국학교","출신교","동경한국학교"
35211,"청도국기외국어학교","출신교","청도국기외국어학교"
2406,"Asaka Academic Lyceum under Andijan State University ","출신교","Asaka Academic Lyceum under Andijan State University "
2407,"High school of Excellence of Bamako","출신교","High school of Excellence of Bamako"
31147,"Dong Sung High School","출신교","Dong Sung High School"
30883,"Fraser Heights Secondary School","출신교","Fraser Heights Secondary School"
33501,"시안 No75 Middle School","출신교","시안 No75 Middle School"
35210,"Beijing Juncheng High School","출신교","Beijing Juncheng High School"
38348,"대구삼육초등학교","출신교","대구삼육초등학교"
35213,"Tenafly High School","출신교","Tenafly High School"
35270,"연길시제2고급중학교","출신교","연길시제2고급중학교"
35269,"Jining No 1 Senior High School","출신교","Jining No 1 Senior High School"
34884,"Westview High School","출신교","Westview High School"
34968,"School Gymnasium N22","출신교","School Gymnasium N22"
34967,"Erdemtugs High school","출신교","Erdemtugs High school"
4815,"Suzhou Tourism and Finance Institute, China","출신교","Suzhou Tourism and Finance Institute, China"
32687,"Morrison Academy","출신교","Morrison Academy"
